domain,original_record,preprocessed_text,cluster,PC1,PC2,distance_to_centroid
cloud computing,cloud computing,cloud computing,1,-0.026427664,-0.011687021,0.042326987
cloud storage,cloud storage,cloud storage,1,-0.015609647,-0.008430114,0.041444857
cloud security,cloud security,cloud security,0,0.0012241883,0.010107611,0.044736892
cloud services,cloud services,cloud service,2,0.0748167,-0.00760459,0.0399564
cloud backup,cloud backup,cloud backup,1,-0.019725043,-0.0062566907,0.04289275
software development,software development,software development,0,0.013407805,0.013511607,0.05284119
software engineering,software engineering,software engineering,3,-0.016137121,0.00916968,0.045573816
software testing,software testing,software testing,3,-0.016861299,0.013220299,0.044397343
web development,web development,web development,3,-0.015536886,-0.00272851,0.042248063
mobile application,mobile application,mobile application,1,-0.026166696,0.0031862333,0.04423861
app development,app development,app development,3,-0.011818592,-0.0013219994,0.043014195
data science,data science,data science,3,-0.010073626,0.010961542,0.047100466
data analytics,data analytics,data analytics,3,-0.01924673,-0.0040797605,0.04426098
machine learning,machine learning,machine learning,3,-0.0077264523,-0.004967539,0.04242157
deep learning,deep learning,deep learning,3,-0.007211747,-0.013312121,0.04649468
artificial intelligence,artificial intelligence,artificial intelligence,3,-0.0095772585,-0.002513611,0.047571644
natural language processing,natural language processing,natural language processing,0,0.019131541,0.008174642,0.044716675
computer vision,computer vision,computer vision,3,-0.008532598,0.0016107173,0.044735022
generative ai,generative ai,generative ai,3,-0.012737102,0.0059249704,0.04284715
ai tools,ai tools,ai tool,3,-0.0099756615,0.0050549563,0.045650154
cyber security,cyber security,cyber security,1,-0.028859228,0.014453026,0.0407488
network security,network security,network security,1,-0.02523501,0.013523448,0.045432672
information security,information security,information security,1,-0.016230986,0.006313236,0.041282777
password management,password management,password management,0,0.006000058,0.017003074,0.03342939
identity management,identity management,identity management,0,0.002568334,0.020044832,0.0399035
digital security,digital security,digital security,1,-0.02191733,0.006335601,0.043604214
online security,online security,online security,0,0.01081399,0.01992365,0.039674163
security software,security software,security software,0,0.00785607,0.026151676,0.0430898
antivirus software,antivirus software,antivirus software,3,-0.016955595,0.017028477,0.047243286
malware protection,malware protection,malware protection,3,-0.014695016,-0.004840121,0.05066236
banking services,banking services,banking service,2,0.05669893,-0.008822934,0.032029726
online banking,online banking,online banking,3,-0.0060589863,0.0015178344,0.04137721
digital banking,digital banking,digital banking,1,-0.038790338,-0.012070218,0.043209203
personal banking,personal banking,personal banking,1,-0.041063417,-0.009598823,0.040732127
business banking,business banking,business banking,1,-0.036292627,-0.008734076,0.03708819
investment banking,investment banking,investment banking,1,-0.03591853,-0.0120874215,0.037881877
financial services,financial services,financial service,2,0.048403192,-0.011962172,0.02916628
financial planning,financial planning,financial planning,3,-0.01841243,-0.010830427,0.04278042
wealth management,wealth management,wealth management,0,0.005370475,0.0057193153,0.035684522
asset management,asset management,asset management,0,0.007855459,0.01747858,0.040750302
mutual funds,mutual funds,mutual fund,3,-0.007540583,-0.0018434967,0.04789263
stock market,stock market,stock market,0,0.0103522865,0.011673507,0.046077702
stock trading,stock trading,stock trading,3,-0.014796547,0.013413335,0.047548205
share market,share market,share market,3,-0.0019395234,-0.00089707033,0.052664533
investment planning,investment planning,investment planning,3,-0.012268679,-0.01026206,0.038526412
retirement planning,retirement planning,retirement planning,3,-0.019525772,-0.009343508,0.039303202
tax planning,tax planning,tax planning,3,-0.010898486,-0.012038339,0.045767907
insurance services,insurance services,insurance service,2,0.07366717,-0.002346097,0.041672092
life insurance,life insurance,life insurance,1,-0.027721794,-0.008793234,0.04809209
health insurance,health insurance,health insurance,3,-0.0018888271,-0.004154096,0.044884987
car insurance,car insurance,car insurance,0,0.014657444,0.009907324,0.045112688
home insurance,home insurance,home insurance,0,0.02351712,0.008034267,0.045450404
travel insurance,travel insurance,travel insurance,3,-0.013663829,-0.0065561184,0.04882178
loan services,loan services,loan service,2,0.061452255,-0.00790759,0.030248567
personal loans,personal loans,personal loan,1,-0.036310095,-0.00868348,0.039149404
home loans,home loans,home loan,0,0.011302222,0.002472777,0.043548487
business loans,business loans,business loan,1,-0.031539302,-0.007818735,0.038030345
student loans,student loans,student loan,1,-0.028200777,-0.006534119,0.045423813
mortgage services,mortgage services,mortgage service,2,0.04089754,-0.007528151,0.033033002
credit cards,credit cards,credit card,3,-0.0125254365,0.0030756118,0.041581966
credit score,credit score,credit score,3,-0.0059025967,0.008041477,0.044573616
payment services,payment services,payment service,2,0.068136595,-0.013393205,0.036172125
digital payments,digital payments,digital payment,1,-0.027352659,-0.016640496,0.039701592
online payments,online payments,online payment,0,0.0053786645,-0.003052438,0.04002695
mobile payments,mobile payments,mobile payment,3,-0.009598465,-0.0071852305,0.044677895
payment gateway,payment gateway,payment gateway,1,-0.021402905,-0.015248799,0.043331884
ecommerce payments,ecommerce payments,ecommerce payment,1,-0.02161093,-0.015739933,0.042701744
education services,education services,education service,2,0.08814699,0.016575651,0.05405314
online education,online education,online education,0,0.025389064,0.026916418,0.04273977
online courses,online courses,online course,0,0.020140676,0.011593691,0.038299613
digital learning,digital learning,digital learning,3,-0.004576115,-0.008745399,0.04523159
distance learning,distance learning,distance learning,3,-0.010875381,-0.005659592,0.045672845
higher education,higher education,higher education,3,-0.016854094,0.015218958,0.046862215
school education,school education,school education,3,-0.016422885,0.012019817,0.04410355
college education,college education,college education,3,-0.011995243,0.018700354,0.04411155
university courses,university courses,university course,3,-0.016381856,-0.00024947053,0.04585659
professional courses,professional courses,professional course,3,-0.0033971223,0.005000502,0.04401859
technical education,technical education,technical education,3,-0.01125965,0.02258657,0.043385092
language learning,language learning,language learning,2,0.030709347,0.0018491481,0.055556126
english learning,english learning,english learning,3,-0.0082198195,-0.007641297,0.044373542
math education,math education,math education,3,-0.014575331,0.019269984,0.04215554
science education,science education,science education,0,0.005392245,0.030012501,0.04753891
computer education,computer education,computer education,0,0.020540392,0.021781417,0.048304964
coding courses,coding courses,coding course,3,-0.014447957,0.0035278138,0.042925585
programming courses,programming courses,programming course,3,-0.011990692,0.0050644614,0.040295683
data science courses,data science courses,data science course,3,-0.0005048307,0.01085275,0.038692918
business education,business education,business education,3,-0.0048445943,0.016664509,0.039299555
career education,career education,career education,0,0.0069822753,0.02540675,0.044081558
job training,job training,job training,0,0.0035435748,0.0039276034,0.043941215
healthcare services,healthcare services,healthcare service,2,0.040911317,-0.0057329615,0.030932637
medical services,medical services,medical service,2,0.07000711,-0.0010512933,0.03866275
health information,health information,health information,1,-0.018194498,-0.013206973,0.040757887
hospital services,hospital services,hospital service,2,0.037619285,-0.006035836,0.032675724
clinic services,clinic services,clinic service,2,0.059508923,-0.006378739,0.03222352
doctor consultation,doctor consultation,doctor consultation,1,-0.02797174,0.0012373559,0.043304514
online doctor,online doctor,online doctor,0,0.0016103083,0.006366084,0.04417266
telemedicine services,telemedicine services,telemedicine service,2,0.039757457,-0.006056402,0.02698984
medical appointments,medical appointments,medical appointment,3,-0.018657524,0.008200719,0.041087292
pharmacy services,pharmacy services,pharmacy service,2,0.042276688,-0.011088316,0.02978746
medicine delivery,medicine delivery,medicine delivery,3,-0.014484168,0.0047162888,0.04419065
dental services,dental services,dental service,2,0.050175298,-0.0044648503,0.03045214
dental clinic,dental clinic,dental clinic,1,-0.03748019,-0.0027142786,0.048410147
eye care,eye care,eye care,3,-0.0070720552,0.004812799,0.0465088
mental wellness,mental wellness,mental wellness,3,-0.014511607,0.0065107844,0.0521659
fitness services,fitness services,fitness service,2,0.054949258,-0.006167294,0.031490777
nutrition services,nutrition services,nutrition service,2,0.036646873,-0.0053748568,0.0307668
health tracking,health tracking,health tracking,3,-0.007798983,-0.0059885937,0.04683745
medical research,medical research,medical research,3,-0.01641415,0.0016561912,0.04131944
health technology,health technology,health technology,3,-0.01163707,-0.011747093,0.040724155
fitness training,fitness training,fitness training,3,-0.021778721,-0.002126383,0.045034267
gym services,gym services,gym service,2,0.043863144,-0.009056402,0.030984296
yoga classes,yoga classes,yoga class,3,-0.008976359,0.0005646597,0.04940633
sports training,sports training,sport training,3,-0.017641976,-0.002368333,0.046594065
online shopping,online shopping,online shopping,0,0.03361501,0.010258507,0.046320204
ecommerce store,ecommerce store,ecommerce store,0,0.013363128,-0.006421702,0.046564218
online marketplace,online marketplace,online marketplace,3,-0.019150555,0.0071938643,0.041331172
fashion shopping,fashion shopping,fashion shopping,0,0.0036758108,-0.0008637564,0.043149322
clothing store,clothing store,clothing store,0,0.011441393,-0.0012357449,0.044503123
shoe shopping,shoe shopping,shoe shopping,0,-0.0029864442,0.00097313046,0.04704023
electronics store,electronics store,electronics store,0,0.0012487008,0.00062094175,0.041253924
mobile phones,mobile phones,mobile phone,3,-0.014446151,-0.001410784,0.043921426
laptop store,laptop store,laptop store,0,0.005638163,-0.0051571717,0.04600569
computer accessories,computer accessories,computer accessory,3,-0.00707464,0.0008085139,0.044951707
home appliances,home appliances,home appliance,0,0.020842314,0.0030661242,0.040014103
kitchen appliances,kitchen appliances,kitchen appliance,3,-0.013568456,-0.005839824,0.041352972
furniture store,furniture store,furniture store,0,0.008473177,-0.0038893106,0.04385502
home decor,home decor,home decor,3,-0.006285391,-0.0043015433,0.044470925
beauty products,beauty products,beauty product,1,-0.028433569,-0.009793464,0.04548298
cosmetic store,cosmetic store,cosmetic store,0,0.005214233,-0.008543363,0.042477135
grocery delivery,grocery delivery,grocery delivery,3,-0.009296452,0.008676325,0.04115803
food delivery,food delivery,food delivery,3,0.002322979,0.00618011,0.046259496
online grocery,online grocery,online grocery,3,-0.003925302,0.008988535,0.040450245
shopping deals,shopping deals,shopping deal,0,0.0033783733,0.006098282,0.045514826
product reviews,product reviews,product review,3,-0.011915114,0.005395312,0.043177936
customer reviews,customer reviews,customer review,3,-0.012317364,0.005510866,0.03821145
travel services,travel services,travel service,2,0.059833407,-0.012339325,0.034838654
travel booking,travel booking,travel booking,1,-0.018998006,-0.013726882,0.043371458
flight booking,flight booking,flight booking,1,-0.01759792,-0.007451553,0.043218788
hotel booking,hotel booking,hotel booking,1,-0.027631525,-0.0041975803,0.040101465
holiday packages,holiday packages,holiday package,3,-0.006376088,0.0013843612,0.047032494
travel planning,travel planning,travel planning,3,-0.0069822194,-0.011207594,0.04197504
tourism services,tourism services,tourism service,2,0.04060885,-0.008843114,0.030085739
car rental,car rental,car rental,0,0.015695982,0.0017403712,0.042846553
bike rental,bike rental,bike rental,1,-0.022536552,-0.009861324,0.042360283
travel insurance,travel insurance,travel insurance,3,-0.013663827,-0.0065561174,0.04882178
airport services,airport services,airport service,2,0.040110916,-0.002673699,0.029011654
tour guides,tour guides,tour guide,3,-0.009812956,0.007025085,0.04411933
adventure travel,adventure travel,adventure travel,1,-0.038008872,-0.008610675,0.0435488
beach holidays,beach holidays,beach holiday,3,-0.0034419117,0.00014127353,0.053493023
business travel,business travel,business travel,1,-0.03315818,-0.01225047,0.0413812
family travel,family travel,family travel,1,-0.03980003,-0.013029836,0.042248573
restaurant booking,restaurant booking,restaurant booking,1,-0.0387079,-0.0076534003,0.04169814
food services,food services,food service,2,0.070452034,-0.0038484442,0.03844909
restaurant services,restaurant services,restaurant service,2,0.040123533,-0.0062658545,0.02994952
online restaurant,online restaurant,online restaurant,3,-0.022634417,0.0040749134,0.03814891
food ordering,food ordering,food ordering,1,-0.023536412,-0.004482263,0.046113312
cooking recipes,cooking recipes,cooking recipe,1,-0.020478217,-0.00055278075,0.042659223
recipe sharing,recipe sharing,recipe sharing,0,0.010349421,0.0067514605,0.045927554
food reviews,food reviews,food review,3,-0.0042536436,0.006717333,0.044353455
grocery shopping,grocery shopping,grocery shopping,0,0.008041156,0.0066948193,0.046315283
meal delivery,meal delivery,meal delivery,3,-0.018634923,0.0065092817,0.0424888
catering services,catering services,catering service,2,0.03698492,-0.004265384,0.03144612
coffee shop,coffee shop,coffee shop,3,-0.014891252,0.0019609942,0.045443714
bakery services,bakery services,bakery service,2,0.043053344,-0.0111183645,0.029749207
restaurant management,restaurant management,restaurant management,0,-0.0017772762,0.014708367,0.041284848
food technology,food technology,food technology,3,-0.012793423,-0.0056582196,0.045317736
social media,social media,social medium,1,-0.030453172,0.00278067,0.046905275
social networking,social networking,social networking,1,-0.023905719,0.003046724,0.040164452
online community,online community,online community,3,-0.019818032,0.008878879,0.039684817
content sharing,content sharing,content sharing,3,-0.000492461,-0.0007832119,0.04890183
video sharing,video sharing,video sharing,3,-0.0029597238,0.00012242756,0.050147146
photo sharing,photo sharing,photo sharing,3,-0.008164835,-0.00048166345,0.044084396
messaging services,messaging services,messaging service,2,0.035153728,-0.0076902406,0.031118145
online chat,online chat,online chat,3,-0.017558653,0.003960673,0.04356798
professional networking,professional networking,professional networking,1,-0.031625263,-0.0032539056,0.04360414
digital marketing,digital marketing,digital marketing,1,-0.024414174,-0.007880261,0.0383252
social marketing,social marketing,social marketing,3,-0.0075011114,0.005415221,0.04418034
content marketing,content marketing,content marketing,1,-0.01773127,-0.0036673434,0.044535577
email marketing,email marketing,email marketing,1,-0.026152026,-0.005897368,0.040366177
search marketing,search marketing,search marketing,1,-0.025092563,0.0012335018,0.038272776
advertising services,advertising services,advertising service,2,0.037503865,-0.010871325,0.033959992
brand management,brand management,brand management,0,0.0012245114,0.015640149,0.03723723
marketing analytics,marketing analytics,marketing analytics,1,-0.02085275,-0.00623744,0.041999876
market research,market research,market research,3,0.00062494667,0.0010960822,0.049726322
business consulting,business consulting,business consulting,1,-0.023703542,-0.0060699275,0.03491333
management consulting,management consulting,management consulting,0,0.027387252,0.014815441,0.04169745
financial consulting,financial consulting,financial consulting,1,-0.029473174,-0.009991648,0.039586782
technology consulting,technology consulting,technology consulting,3,-0.01395744,-0.007968563,0.040503755
legal consulting,legal consulting,legal consulting,1,-0.025207382,-0.009552726,0.04132733
hr consulting,hr consulting,hr consulting,1,-0.029180361,-0.00330804,0.04339648
career consulting,career consulting,career consulting,3,-0.011876676,0.0026723025,0.0402277
startup consulting,startup consulting,startup consulting,1,-0.03283199,-0.0074826125,0.04197728
business services,business services,business service,2,0.05417283,-0.008040453,0.026758919
small business,small business,small business,1,-0.0399956,-0.009926826,0.036241647
startup services,startup services,startup service,2,0.045044392,-0.009453135,0.029416533
entrepreneurship,entrepreneurship,entrepreneurship,1,-0.06916582,0.00047946346,0.06483863
business management,business management,business management,0,0.012272048,0.012933775,0.03551977
project management,project management,project management,0,0.003463702,0.015290313,0.040245317
product management,product management,product management,0,0.020889802,0.015803764,0.03962967
human resources,human resources,human resource,3,-0.009367752,0.0065414463,0.04972465
employee management,employee management,employee management,0,0.003974551,0.01896825,0.036546208
recruitment services,recruitment services,recruitment service,2,0.04230206,-0.0130443,0.03167204
job search,job search,job search,3,-0.01589609,0.005753165,0.04148887
career opportunities,career opportunities,career opportunity,1,-0.029293863,0.00193333,0.04615985
remote jobs,remote jobs,remote job,3,-0.013638069,-0.0021788648,0.040861398
freelance jobs,freelance jobs,freelance job,3,-0.011861701,-0.0011187556,0.04005645
employment services,employment services,employment service,2,0.03902759,-0.010789163,0.030088488
resume services,resume services,resume service,2,0.034665786,-0.01358312,0.030777587
professional services,professional services,professional service,2,0.060868666,-0.0043817395,0.03205669
legal services,legal services,legal service,2,0.052669015,-0.011523245,0.030634305
law firm,law firm,law firm,3,-0.0039382107,0.0056885155,0.049398046
legal advice,legal advice,legal advice,1,-0.043964904,-0.019626554,0.045284703
real estate,real estate,real estate,2,0.038142595,0.011027374,0.048390772
property management,property management,property management,0,0.02054544,0.008039308,0.039709553
property investment,property investment,property investment,1,-0.030171249,-0.016199403,0.041384634
home buying,home buying,home buying,3,-0.0019094228,0.00057524303,0.043129854
home selling,home selling,home selling,0,-0.0009252043,0.005186733,0.042211533
rental properties,rental properties,rental property,3,-0.010012474,-0.015318658,0.045314055
